id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
957279,2504,2023-04-14 14:00:00.000,2023104.084027,1.50,17.94,86.9,24.23,3,0000-0000-0000
957289,2504,2023-04-14 14:30:00.000,2023104.104861,1.50,17.27,80.0,19.40,3,0000-0000-0000
957300,2504,2023-04-14 15:00:00.000,2023104.125694,1.50,19.33,90.1,21.40,3,0000-0000-0000
957311,2504,2023-04-14 15:30:00.000,2023104.146527,1.50,18.16,93.9,22.90,3,0000-0000-0000
957318,2504,2023-04-14 16:00:00.000,2023104.167361,1.50,18.74,99.6,23.33,3,0000-0000-0000
957329,2504,2023-04-14 16:30:00.000,2023104.188194,1.50,19.50,86.4,21.53,3,0000-0000-0000
957337,2504,2023-04-14 17:00:00.000,2023104.209027,1.50,18.35,95.4,22.97,3,0000-0000-0000
957348,2504,2023-04-14 17:30:00.000,2023104.229861,1.50,19.81,89.3,20.93,3,0000-0000-0000
957356,2504,2023-04-14 18:00:00.000,2023104.250694,1.50,16.70,107.9,21.77,3,0000-0000-0000
957367,2504,2023-04-14 18:30:00.000,2023104.271527,1.50,21.22,96.7,25.87,3,0000-0000-0000
957375,2504,2023-04-14 19:00:00.000,2023104.292361,1.50,18.14,91.0,21.50,3,0000-0000-0000
957386,2504,2023-04-14 19:30:00.000,2023104.313194,1.50,17.82,96.7,20.20,3,0000-0000-0000
957394,2504,2023-04-14 20:00:00.000,2023104.334027,1.50,19.51,110.4,21.93,3,0000-0000-0000
957405,2504,2023-04-14 20:30:00.000,2023104.354861,1.50,19.92,99.6,25.10,3,0000-0000-0000
957413,2504,2023-04-14 21:00:00.000,2023104.375694,1.50,16.78,107.2,19.10,3,0000-0000-0000
957425,2504,2023-04-14 21:30:00.000,2023104.396527,1.50,16.04,125.9,17.17,3,0000-0000-0000
957433,2504,2023-04-14 22:00:00.000,2023104.417361,1.50,19.41,102.0,23.57,3,0000-0000-0000
957444,2504,2023-04-14 22:30:00.000,2023104.438194,1.50,18.25,95.3,23.90,3,0000-0000-0000
957452,2504,2023-04-14 23:00:00.000,2023104.459027,1.50,14.58,119.4,22.30,3,0000-0000-0000
957463,2504,2023-04-14 23:30:00.000,2023104.479861,1.50,21.03,96.6,23.03,3,0000-0000-0000
957471,2504,2023-04-15 00:00:00.000,2023104.500694,1.50,15.77,98.1,17.50,3,0000-0000-0000
957482,2504,2023-04-15 00:30:00.000,2023104.521527,1.50,14.77,114.6,17.47,3,0000-0000-0000
957490,2504,2023-04-15 01:00:00.000,2023104.542361,1.50,14.52,110.4,16.37,3,0000-0000-0000
957501,2504,2023-04-15 01:30:00.000,2023104.563194,1.50,13.64,75.4,15.80,3,0000-0000-0000
957509,2504,2023-04-15 02:00:00.000,2023104.584027,1.50,15.07,100.9,17.30,3,0000-0000-0000
957520,2504,2023-04-15 02:30:00.000,2023104.604861,1.50,13.08,107.5,14.60,3,0000-0000-0000
957528,2504,2023-04-15 03:00:00.000,2023104.625694,1.50,15.58,109.1,16.70,3,0000-0000-0000
957539,2504,2023-04-15 03:30:00.000,2023104.646527,1.50,14.21,119.2,16.50,3,0000-0000-0000
957547,2504,2023-04-15 04:00:00.000,2023104.667361,1.50,12.87,132.6,13.93,3,0000-0000-0000
957558,2504,2023-04-15 04:30:00.000,2023104.688194,1.50,15.38,117.1,18.50,3,0000-0000-0000
957566,2504,2023-04-15 05:00:00.000,2023104.709027,1.50,17.05,108.6,18.50,3,0000-0000-0000
957577,2504,2023-04-15 05:30:00.000,2023104.729861,1.50,15.23,123.5,17.30,3,0000-0000-0000
957585,2504,2023-04-15 06:00:00.000,2023104.750694,1.50,15.25,114.4,17.30,3,0000-0000-0000
957596,2504,2023-04-15 06:30:00.000,2023104.771527,1.50,18.19,107.6,22.10,3,0000-0000-0000
957604,2504,2023-04-15 07:00:00.000,2023104.792361,1.50,16.89,124.4,20.40,3,0000-0000-0000
957615,2504,2023-04-15 07:30:00.000,2023104.813194,1.50,13.76,117.0,16.37,3,0000-0000-0000
957623,2504,2023-04-15 08:00:00.000,2023104.834027,1.50,15.84,110.8,19.57,3,0000-0000-0000
957634,2504,2023-04-15 08:30:00.000,2023104.854861,1.50,17.08,109.7,20.10,3,0000-0000-0000
957642,2504,2023-04-15 09:00:00.000,2023104.875694,1.50,16.63,111.2,20.77,3,0000-0000-0000
957653,2504,2023-04-15 09:30:00.000,2023104.896527,1.50,15.59,113.8,18.43,3,0000-0000-0000
957661,2504,2023-04-15 10:00:00.000,2023104.917361,1.50,20.20,89.6,23.70,3,0000-0000-0000
957672,2504,2023-04-15 10:30:00.000,2023104.938194,1.50,17.42,95.9,19.70,3,0000-0000-0000
957680,2504,2023-04-15 11:00:00.000,2023104.959027,1.50,16.03,109.9,17.90,3,0000-0000-0000
957691,2504,2023-04-15 11:30:00.000,2023104.979861,1.50,17.92,99.6,22.10,3,0000-0000-0000
957699,2504,2023-04-15 12:00:00.000,2023105.000694,1.50,19.55,115.5,22.80,3,0000-0000-0000
957710,2504,2023-04-15 12:30:00.000,2023105.021527,1.50,19.81,99.3,23.10,3,0000-0000-0000
957716,2504,2023-04-15 13:00:00.000,2023105.042361,1.50,18.79,95.0,21.30,3,0000-0000-0000
957726,2504,2023-04-15 13:30:00.000,2023105.063194,1.50,18.46,97.4,21.50,3,0000-0000-0000
957734,2504,2023-04-15 14:00:00.000,2023105.084027,1.50,17.35,107.4,19.93,3,0000-0000-0000
957745,2504,2023-04-15 14:30:00.000,2023105.104861,1.50,15.88,93.6,21.30,3,0000-0000-0000
957753,2504,2023-04-15 15:00:00.000,2023105.125694,1.50,15.59,98.3,18.17,3,0000-0000-0000
957764,2504,2023-04-15 15:30:00.000,2023105.146527,1.50,18.92,98.4,21.47,3,0000-0000-0000
957772,2504,2023-04-15 16:00:00.000,2023105.167361,1.50,17.46,98.7,20.07,3,0000-0000-0000
957783,2504,2023-04-15 16:30:00.000,2023105.188194,1.50,14.21,107.5,15.87,3,0000-0000-0000
957791,2504,2023-04-15 17:00:00.000,2023105.209027,1.50,14.27,103.0,15.80,3,0000-0000-0000
957802,2504,2023-04-15 17:30:00.000,2023105.229861,1.50,14.54,109.7,17.90,3,0000-0000-0000
957810,2504,2023-04-15 18:00:00.000,2023105.250694,1.50,14.52,111.2,17.33,3,0000-0000-0000
957821,2504,2023-04-15 18:30:00.000,2023105.271527,1.50,12.72,127.5,14.87,3,0000-0000-0000
957829,2504,2023-04-15 19:00:00.000,2023105.292361,1.50,14.25,113.4,16.30,3,0000-0000-0000
957840,2504,2023-04-15 19:30:00.000,2023105.313194,1.50,15.14,117.1,16.63,3,0000-0000-0000
957848,2504,2023-04-15 20:00:00.000,2023105.334027,1.50,16.15,113.7,18.53,3,0000-0000-0000
957859,2504,2023-04-15 20:30:00.000,2023105.354861,1.50,15.33,127.9,18.37,3,0000-0000-0000
